Switched-In;Switched-Out;CPU;PID;TID;Comm;Runtime;Time Out-In;Time Out-Out;Time In-In;Time In-Out
4667.873060023;4667.873251251;2;4144;4150;Chrome_ChildIOT;191228;13572308;13763536;14545164;14736392
4667.874627608;4667.874641053;23;16;16;rcu_preempt;13445;4045197;4058642;4060358;4073803
4667.882569714;4667.882585024;23;16;16;rcu_preempt;15310;7928661;7943971;7942106;7957416
4667.894552414;4667.894564963;2;243;243;kcompactd0;12549;511952976;511965525;511964984;511977533
4667.895441130;4667.895703128;11;48165;48165;chromium;261998;42179051;42441049;50627474;50889472
4667.896554689;4667.896651140;0;4140;4232;VizCompositorTh;96451;33113658;33210109;33240195;33336646
4667.898373228;4667.898542120;2;4144;4150;Chrome_ChildIOT;168892;25121977;25290869;25313205;25482097
4667.903135008;4667.903144667;0;17;17;migration/0;9659;1133424463;1133434122;1133431734;1133441393
4667.929781244;4667.929874450;0;4140;4232;VizCompositorTh;93206;33130104;33223310;33226555;33319761
4667.931199367;4667.931211114;6;34;34;migration/6;11747;1161288480;1161300227;1161295748;1161307495
4667.931200266;4667.931212581;2;22;22;migration/2;12315;1161425470;1161437785;1161432562;1161444877
4667.931220408;4667.931229889;4;28;28;migration/4;9481;1161376410;1161385891;1161384063;1161393544
4667.935224927;4667.935236576;10;46;46;migration/10;11649;196631065;196642714;196650340;196661989
4667.935224549;4667.935236812;12;52;52;migration/12;12263;1165070920;1165083183;1165078000;1165090263
4667.935230553;4667.935242605;8;40;40;migration/8;12052;1165218592;1165230644;1165224930;1165236982
4667.935233229;4667.935246822;23;106;106;migration/23;13593;172657211;172670804;172666505;172680098
4667.935233245;4667.935247008;21;94;94;migration/21;13763;1164616554;1164630317;1164628138;1164641901
4667.935233206;4667.935247012;20;88;88;migration/20;13806;1164687974;1164701780;1164696575;1164710381
4667.935233375;4667.935247042;24;112;112;migration/24;13667;1164285396;1164299063;1164295462;1164309129
4667.935233343;4667.935247245;19;82;82;migration/19;13902;1164770892;1164784794;1164778839;1164792741
4667.935257951;4667.935266187;22;100;100;migration/22;8236;1164441220;1164449456;1164449462;1164457698
4667.935259175;4667.935267763;16;64;64;migration/16;8588;1164935412;1164944000;1164944494;1164953082
4667.935259872;4667.935269061;14;58;58;migration/14;9189;1165029309;1165038498;1165041312;1165050501
4667.935260546;4667.935269104;17;70;70;migration/17;8558;1164889376;1164897934;1164897848;1164906406
4667.935261529;4667.935269802;18;76;76;migration/18;8273;1164844425;1164852698;1164852916;1164861189
4667.935268199;4667.935279879;31;154;154;migration/31;11680;-1;-1;-1;-1
4667.935285250;4667.935293526;28;136;136;migration/28;8276;1164078941;1164087217;1164088998;1164097274
4667.935285744;4667.935293661;25;118;118;migration/25;7917;1164272014;1164279931;1164280517;1164288434
4667.935287198;4667.935295383;29;142;142;migration/29;8185;1164028996;1164037181;1164037577;1164045762
4667.935287883;4667.935296355;26;124;124;migration/26;8472;1164216101;1164224573;1164225011;1164233483
4667.935289425;4667.935297828;30;148;148;migration/30;8403;1163983515;1163991918;1163992360;1164000763
4667.935289911;4667.935298332;27;130;130;migration/27;8421;1164161286;1164169707;1164169957;1164178378
4667.938577116;4667.938591589;20;49388;49388;kworker/u64:3;14473;167517694;167532167;167537653;167552126
4667.939209297;4667.939221421;1;160;160;migration/1;12124;176647388;176659512;176682887;176695011
4667.943214815;4667.943226908;11;190;190;migration/11;12093;1173123965;1173136058;1173129343;1173141436
4667.943214677;4667.943227013;13;196;196;migration/13;12336;1173047748;1173060084;1173052437;1173064773
4667.943215266;4667.943227342;5;172;172;migration/5;12076;1173357886;1173369962;1173362305;1173374381
4667.943216005;4667.943228491;7;178;178;migration/7;12486;1173290906;1173303392;1173295705;1173308191
4667.943253648;4667.943263049;9;184;184;migration/9;9401;1173228105;1173237506;1173232734;1173242135
4667.943271184;4667.943280464;15;202;202;migration/15;9280;1173027121;1173036401;1173032358;1173041638
4667.943272472;4667.943281767;3;166;166;migration/3;9295;1173483422;1173492717;1173488601;1173497896
